country,card_url,general,country_link,city,PM2.5,date,hour
Canada,https://openaq.org/#/location/Bruderheim,Bruderheim,Canada,"ALBERTA,",6.6,4/25/2020,23:00
Canada,https://openaq.org/#/location/Calgary%20Central2,Calgary Central2,Canada,"ALBERTA,",2.4,4/26/2020,1:00
Canada,https://openaq.org/#/location/Calgary%20Northwest,Calgary Northwest,Canada,"ALBERTA,",7.7,4/26/2020,1:00
Canada,https://openaq.org/#/location/Caroline,Caroline,Canada,"ALBERTA,",1.2,4/26/2020,1:00
Canada,https://openaq.org/#/location/Cold%20Lake%20South,Cold Lake South,Canada,"ALBERTA,",7.7,10/29/2018,16:00
Canada,https://openaq.org/#/location/Edmonton%20Central,Edmonton Central,Canada,"ALBERTA,",4.6,4/26/2020,1:00
Canada,https://openaq.org/#/location/Edmonton%20East,Edmonton East,Canada,"ALBERTA,",5.4,4/26/2020,1:00
Canada,https://openaq.org/#/location/Edmonton%20South,Edmonton South,Canada,"ALBERTA,",3.8,4/26/2020,1:00
Canada,https://openaq.org/#/location/Edmonton%20Woodcroft,Edmonton Woodcroft,Canada,"ALBERTA,",5,4/26/2020,1:00
Canada,https://openaq.org/#/location/Elk%20Island,Elk Island,Canada,"ALBERTA,",3.7,4/25/2020,23:00
Canada,https://openaq.org/#/location/Fort%20Chipewyan,Fort Chipewyan,Canada,"ALBERTA,",3.3,4/24/2020,12:00
Canada,https://openaq.org/#/location/Fort%20McKay,Fort McKay,Canada,"ALBERTA,",9.8,4/26/2020,1:00
Canada,https://openaq.org/#/location/Fort%20Saskatchewan,Fort Saskatchewan,Canada,"ALBERTA,",4.6,4/26/2020,1:00
Chile,https://openaq.org/#/location/Alto%20Hospicio,Alto Hospicio,"Hospicio,",Alto,12,4/26/2020,2:00
Chile,https://openaq.org/#/location/Antofagasta,Antofagasta,Chile,"Antofagasta,",5,4/26/2020,2:00
Chile,https://openaq.org/#/location/Arica,Arica,Chile,"Arica,",20.57,4/26/2020,2:00
Chile,https://openaq.org/#/location/Vialidad,Vialidad,Chile,"Aysén,",1,11/3/2017,21:00
Chile,https://openaq.org/#/location/Progreso,Progreso,Chile,"Cabrero,",0,6/28/2017,17:00
Chile,https://openaq.org/#/location/Club%20Deportivo%2023%20de%20Marzo,Club Deportivo 23 de Marzo,Chile,"Calama,",10.27,4/26/2020,2:00
Chile,https://openaq.org/#/location/Colegio%20Pedro%20Vergara%20Keller,Colegio Pedro Vergara Keller,Chile,"Calama,",1.65,4/19/2020,14:00
Chile,https://openaq.org/#/location/Estaci%C3%B3n%20Centro,Estación Centro,Chile,"Calama,",0,2/9/2019,2:00
Chile,https://openaq.org/#/location/Romeral,Romeral,Chile,"Catemu,",0,6/28/2017,18:00
Chile,https://openaq.org/#/location/Santa%20Margarita,Santa Margarita,Chile,"Catemu,",0,6/28/2017,15:00
Chile,https://openaq.org/#/location/Cerrillos,Cerrillos,Chile,"Cerrillos,",18,3/19/2020,20:00
China,https://openaq.org/#/location/Anqing%20Lian%20Fu%20Hua%20Yuan,Anqing Lian Fu Hua Yuan,China,"Anqing,",6,8/16/2018,6:00
China,https://openaq.org/#/location/Beijing%20US%20Embassy,Beijing US Embassy,China,"Beijing,",8,4/25/2020,22:00
China,https://openaq.org/#/location/SPARTAN%20-%20Tsinghua%20University,SPARTAN - Tsinghua University,China,"Beijing,",173,10/15/2015,18:00
China,https://openaq.org/#/location/Chengdu,Chengdu,Switzerland,"N/A,",52,4/25/2020,22:00
China,https://openaq.org/#/location/Guangzhou,Guangzhou,Switzerland,"N/A,",60,4/25/2020,22:00
China,https://openaq.org/#/location/Shanghai,Shanghai,Switzerland,"N/A,",28,4/26/2020,2:00
China,https://openaq.org/#/location/Shenyang,Shenyang,Switzerland,"N/A,",92,4/25/2020,22:00
China,https://openaq.org/#/location/%E6%96%B0%E5%BB%BA%E3%80%80,新建,China,"七台河市,",33,1/7/2020,10:00
China,https://openaq.org/#/location/%E6%96%B0%E5%BB%BA%E7%9F%BF%E5%B9%BF%E5%9C%BA,新建矿广场,China,"七台河市,",27,4/26/2020,2:00
China,https://openaq.org/#/location/%E7%8E%AF%E4%BF%9D%E5%B1%80,环保局,China,"七台河市,",,,
China,https://openaq.org/#/location/%E8%91%AB%E5%A4%B4%E6%B2%9F(%E5%AF%B9%E7%85%A7%E7%82%B9),葫头沟(对照点),China,"七台河市,",17,4/26/2020,2:00
China,https://openaq.org/#/location/%E6%B2%B3%E4%B8%9C%E5%AD%90%E7%AB%99,河东子站,China,"三亚市,",10,4/26/2020,2:00
China,https://openaq.org/#/location/%E6%B2%B3%E8%A5%BF%E5%AD%90%E7%AB%99,河西子站,China,"三亚市,",12,4/26/2020,2:00
China,https://openaq.org/#/location/%E4%B8%89%E5%85%83%E5%8C%BA%E6%94%BF%E5%BA%9C,三元区政府,China,"三明市,",49,4/26/2020,2:00
China,https://openaq.org/#/location/%E4%B8%89%E6%98%8E%E4%BA%8C%E4%B8%AD,三明二中,China,"三明市,",36,4/26/2020,2:00
Colombia,https://openaq.org/#/location/BAR-TORR%20-%20Barbosa%20-%20Torre%20Social,BAR-TORR - Barbosa - Torre Social,Colombia,"Barbosa,",-9999,4/26/2020,2:00
Colombia,https://openaq.org/#/location/BEL-FEVE%20-%20Bello%20-%20I.E.%20Fernando%20V%C3%A9lez,BEL-FEVE - Bello - I.E. Fernando Vélez,Colombia,"Bello,",-9999,4/26/2020,2:00
Colombia,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Bogota,US Diplomatic Post: Bogota,Colombia,"Bogota,",13,4/26/2020,2:00
Colombia,https://openaq.org/#/location/CAL-JOAR%20-%20Caldas%20-%20E%20U%20Joaqu%C3%ADn%20Aristizabal,CAL-JOAR - Caldas - E U Joaquín Aristizabal,Colombia,"Caldas,",-9999,4/26/2020,2:00
Colombia,https://openaq.org/#/location/COP-CVID%20-%20Copacabana%20-%20Ciudadela%20Educativa%20La%20Vida,COP-CVID - Copacabana - Ciudadela Educativa La Vida,Colombia,"Copacabana,",16.6096,4/26/2020,2:00
Colombia,https://openaq.org/#/location/ENV-HOSP%20-%20Envigado%20-%20E.S.E.%20Santa%20Gertrudis,ENV-HOSP - Envigado - E.S.E. Santa Gertrudis,Colombia,"Envigado,",-9999,4/26/2020,2:00
Colombia,https://openaq.org/#/location/ITA-CONC%20-%20Itag%C3%BC%C3%AD%20-%20I.E.%20Concejo%20Municipal%20de%20Itag%C3%BC%C3%AD,ITA-CONC - Itagüí - I.E. Concejo Municipal de Itagüí,Colombia,"Itagüí,",19,4/26/2020,2:00
Colombia,https://openaq.org/#/location/EST-HOSP%20-%20La%20Estrella%20-%20Hospital,EST-HOSP - La Estrella - Hospital,"Estrella,",La,21,4/26/2020,2:00
Colombia,https://openaq.org/#/location/CAL-LASA%20-%20Caldas%20-%20Corporacion%20Universitaria%20Lasallista,CAL-LASA - Caldas - Corporacion Universitaria Lasallista,Colombia,"Medellin,",11,4/26/2020,2:00
Colombia,https://openaq.org/#/location/CEN-TRAF%20-%20Estaci%C3%B3n%20Tr%C3%A1fico%20Centro,CEN-TRAF - Estación Tráfico Centro,Colombia,"Medellin,",19,4/26/2020,2:00
